student_id,plan_name,plan_id,week,weekly_assessment_score,daily_avg_score,n
1235,"T1 ELL Units 9-10 DIP",3227,1,67,80,3
1235,"T1 ELL Units 9-10 DIP",3227,1,100,80,3
1235,"T1 ELL Units 9-10 DIP",3227,1,67,80,3
987,"T1 ELL Units 9-10 DIP",3230,1,67,80,3
987,"T1 ELL Units 9-10 DIP",3230,1,67,80,3
987,"T1 ELL Units 9-10 DIP",3230,1,33,80,3
1262,"T1 ELL Units 9-10 DIP",3230,1,100,80,3
1262,"T1 ELL Units 9-10 DIP",3230,1,100,80,3
1262,"T1 ELL Units 9-10 DIP",3230,1,67,80,3
1184,"T1 ELL Units 9-10 DIP",3232,1,67,40,1
1184,"T1 ELL Units 9-10 DIP",3232,1,100,40,1
1325,"T1 ELL Units 9-10 DIP",3232,1,100,60,1
1325,"T1 ELL Units 9-10 DIP",3232,1,100,60,1
502,"T1 Expression: Ask & Answer",2531,1,100,100,3
515,"T1 Expression: Ask & Answer",2531,1,100,92,3
533,"T1 Expression: Ask & Answer",2531,1,100,100,3
684,"T1 Expression: Ask & Answer",2531,1,100,100,3
499,"T1 Expression: Ask & Answer",2532,1,100,100,2
524,"T1 Expression: Ask & Answer",2532,1,100,100,3
525,"T1 Expression: Ask & Answer",2532,1,100,100,3
528,"T1 Expression: Ask & Answer",2532,1,100,100,3
538,"T1 Expression: Ask & Answer",2532,1,100,100,3
949,"T1 Expression: Ask & Answer",3352,1,100,100,3
