studentId,period,assessment,subassessment,updated_at,value
140244,PM2,ECRLL,rhy,2016-01-14,0
140244,PM3,ECRLL,rhy,2016-03-16,3
140245,BAS,ECRLL,rhy,2015-09-03,1
140245,PM1,ECRLL,rhy,2015-10-26,5
140245,PM2,ECRLL,rhy,2016-01-11,4
140245,PM3,ECRLL,rhy,2016-03-14,4
140245,PYOUT,ECRLL,rhy,2015-08-29,3
140247,BAS,ECRLL,rhy,2015-09-03,2
140247,PM1,ECRLL,rhy,2015-10-23,2
140247,PM2,ECRLL,rhy,2016-01-14,2
140247,PM3,ECRLL,rhy,2016-03-10,1
140247,PYOUT,ECRLL,rhy,2015-08-29,1
140248,BAS,ECRLL,rhy,2015-09-03,4
140248,PM1,ECRLL,rhy,2015-10-22,4
140248,PM2,ECRLL,rhy,2016-01-12,5
140248,PM3,ECRLL,rhy,2016-03-14,5
140248,PYOUT,ECRLL,rhy,2015-08-29,4
140249,PYOUT,ECRLL,rhy,2015-08-29,5
140251,BAS,ECRLL,rhy,2015-08-31,5
140251,PM1,ECRLL,rhy,2015-10-27,5
